path,label,split,group,parentA,alpha
train/real/face_000_dlib_2007_007763.png,real,train,dlib_2007_007763,,
train/real/face_001_dlib_2008_001009.png,real,train,dlib_2008_001009,,
train/real/face_002_dlib_2008_001009.png,real,train,dlib_2008_001009,,
train/real/face_003_dlib_2008_001322.png,real,train,dlib_2008_001322,,
train/real/face_004_dlib_2008_001322.png,real,train,dlib_2008_001322,,
train/real/face_005_dlib_2008_001322.png,real,train,dlib_2008_001322,,
train/real/face_006_dlib_2008_002079.png,real,train,dlib_2008_002079,,
train/real/face_007_dlib_2008_002506.png,real,train,dlib_2008_002506,,
train/real/face_008_dlib_2008_002506.png,real,train,dlib_2008_002506,,
train/real/face_009_dlib_2008_002506.png,real,train,dlib_2008_002506,,
train/real/face_015_dlib_bald_guys.png,real,train,dlib_bald_guys,,
train/real/face_016_dlib_bald_guys.png,real,train,dlib_bald_guys,,
train/real/face_017_dlib_bald_guys.png,real,train,dlib_bald_guys,,
train/real/face_024_dlib_bald_guys_t324x462.png,real,train,dlib_bald_guys,,
train/real/face_025_dlib_bald_guys_t337x59.png,real,train,dlib_bald_guys,,
train/real/face_026_dlib_bald_guys_t57x393.png,real,train,dlib_bald_guys,,
train/real/face_027_dlib_bald_guys_t337x252.png,real,train,dlib_bald_guys,,
train/real/face_028_dlib_bald_guys_t60x80.png,real,train,dlib_bald_guys,,
train/real/face_029_dlib_bald_guys_t559x443.png,real,train,dlib_bald_guys,,
train/real/face_030_dlib_bald_guys_t548x105.png,real,train,dlib_bald_guys,,
train/real/face_031_dlib_bald_guys_t869x113.png,real,train,dlib_bald_guys,,
train/real/face_032_dlib_bald_guys_t874x411.png,real,train,dlib_bald_guys,,
train/real/face_033_dlib_bald_guys_t1453x131.png,real,train,dlib_bald_guys,,
train/real/face_034_dlib_bald_guys_t1824x443.png,real,train,dlib_bald_guys,,
train/real/face_035_dlib_bald_guys_t69x699.png,real,train,dlib_bald_guys,,
train/real/face_036_dlib_bald_guys_t371x809.png,real,train,dlib_bald_guys,,
train/real/face_037_dlib_bald_guys_t49x990.png,real,train,dlib_bald_guys,,
train/real/face_038_dlib_bald_guys_t752x818.png,real,train,dlib_bald_guys,,
train/real/face_039_dlib_bald_guys_t1046x756.png,real,train,dlib_bald_guys,,
train/real/face_040_dlib_bald_guys_t1107x1065.png,real,train,dlib_bald_guys,,
train/real/face_041_dlib_bald_guys_t1626x708.png,real,train,dlib_bald_guys,,
train/real/face_042_dlib_bald_guys_t61x1293.png,real,train,dlib_bald_guys,,
train/real/face_043_dlib_bald_guys_t338x1219.png,real,train,dlib_bald_guys,,
train/real/face_044_dlib_bald_guys_t752x1246.png,real,train,dlib_bald_guys,,
train/real/face_045_dlib_bald_guys_t1452x1351.png,real,train,dlib_bald_guys,,
train/real/face_046_dlib_bald_guys_t1081x1311.png,real,train,dlib_bald_guys,,
train/real/face_047_dlib_bald_guys_t1077x859.png,real,train,dlib_bald_guys,,
train/real/face_048_dlib_bald_guys_t1792x1332.png,real,train,dlib_bald_guys,,
train/real/face_049_dlib_bald_guys_t1473x859.png,real,train,dlib_bald_guys,,
train/morph/morph_train_000.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_031_dlib_bald_guys_t869x113.png,0.7
train/morph/morph_train_001.png,morph,train,dlib_2008_002079+dlib_2008_002506,face_006_dlib_2008_002079.png,0.3
train/morph/morph_train_002.png,morph,train,dlib_2008_001009+dlib_2008_001322,face_001_dlib_2008_001009.png,0.7
train/morph/morph_train_003.png,morph,train,dlib_2007_007763+dlib_bald_guys,face_000_dlib_2007_007763.png,0.3
train/morph/morph_train_004.png,morph,train,dlib_2008_001009+dlib_bald_guys,face_002_dlib_2008_001009.png,0.5
train/morph/morph_train_005.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_030_dlib_bald_guys_t548x105.png,0.7
train/morph/morph_train_006.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_025_dlib_bald_guys_t337x59.png,0.6
train/morph/morph_train_007.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_016_dlib_bald_guys.png,0.5
train/morph/morph_train_008.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_030_dlib_bald_guys_t548x105.png,0.3
train/morph/morph_train_009.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_026_dlib_bald_guys_t57x393.png,0.7
train/morph/morph_train_010.png,morph,train,dlib_2008_001322+dlib_bald_guys,face_003_dlib_2008_001322.png,0.5
train/morph/morph_train_011.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_029_dlib_bald_guys_t559x443.png,0.3
train/morph/morph_train_012.png,morph,train,dlib_2008_002079+dlib_2008_002506,face_006_dlib_2008_002079.png,0.6
train/morph/morph_train_013.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_024_dlib_bald_guys_t324x462.png,0.6
train/morph/morph_train_014.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_027_dlib_bald_guys_t337x252.png,0.3
train/morph/morph_train_015.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_016_dlib_bald_guys.png,0.6
train/morph/morph_train_016.png,morph,train,dlib_2008_002506+dlib_bald_guys,face_007_dlib_2008_002506.png,0.5
train/morph/morph_train_017.png,morph,train,dlib_2008_001322+dlib_bald_guys,face_005_dlib_2008_001322.png,0.6
train/morph/morph_train_018.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_024_dlib_bald_guys_t324x462.png,0.4
train/morph/morph_train_019.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_017_dlib_bald_guys.png,0.6
train/morph/morph_train_020.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_025_dlib_bald_guys_t337x59.png,0.4
train/morph/morph_train_021.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_030_dlib_bald_guys_t548x105.png,0.7
train/morph/morph_train_022.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_040_dlib_bald_guys_t1107x1065.png,0.5
train/morph/morph_train_023.png,morph,train,dlib_2008_001009+dlib_2008_002079,face_002_dlib_2008_001009.png,0.7
train/morph/morph_train_024.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_034_dlib_bald_guys_t1824x443.png,0.7
train/morph/morph_train_025.png,morph,train,dlib_2008_001009+dlib_bald_guys,face_002_dlib_2008_001009.png,0.6
train/morph/morph_train_026.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_028_dlib_bald_guys_t60x80.png,0.6
train/morph/morph_train_027.png,morph,train,dlib_2008_001322+dlib_bald_guys,face_004_dlib_2008_001322.png,0.6
train/morph/morph_train_028.png,morph,train,dlib_2008_001322+dlib_bald_guys,face_005_dlib_2008_001322.png,0.7
train/morph/morph_train_029.png,morph,train,dlib_2008_002079+dlib_bald_guys,face_006_dlib_2008_002079.png,0.5
train/morph/morph_train_030.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_017_dlib_bald_guys.png,0.5
train/morph/morph_train_031.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_038_dlib_bald_guys_t752x818.png,0.4
train/morph/morph_train_032.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_037_dlib_bald_guys_t49x990.png,0.3
train/morph/morph_train_033.png,morph,train,dlib_2008_002506+dlib_bald_guys,face_008_dlib_2008_002506.png,0.5
train/morph/morph_train_034.png,morph,train,dlib_2008_002506+dlib_bald_guys,face_007_dlib_2008_002506.png,0.6
train/morph/morph_train_035.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_028_dlib_bald_guys_t60x80.png,0.4
train/morph/morph_train_036.png,morph,train,dlib_2008_001322+dlib_2008_002506,face_004_dlib_2008_001322.png,0.6
train/morph/morph_train_037.png,morph,train,dlib_2007_007763+dlib_bald_guys,face_000_dlib_2007_007763.png,0.7
train/morph/morph_train_038.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_017_dlib_bald_guys.png,0.7
train/morph/morph_train_039.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_024_dlib_bald_guys_t324x462.png,0.6
train/morph/morph_train_040.png,morph,train,dlib_2008_002506+dlib_bald_guys,face_009_dlib_2008_002506.png,0.5
train/morph/morph_train_041.png,morph,train,dlib_2008_002506+dlib_bald_guys,face_007_dlib_2008_002506.png,0.3
train/morph/morph_train_042.png,morph,train,dlib_2008_002506+dlib_bald_guys,face_007_dlib_2008_002506.png,0.6
train/morph/morph_train_043.png,morph,train,dlib_2008_001009+dlib_bald_guys,face_002_dlib_2008_001009.png,0.5
train/morph/morph_train_044.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_038_dlib_bald_guys_t752x818.png,0.4
train/morph/morph_train_045.png,morph,train,dlib_2008_001322+dlib_bald_guys,face_005_dlib_2008_001322.png,0.6
train/morph/morph_train_046.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_041_dlib_bald_guys_t1626x708.png,0.4
train/morph/morph_train_047.png,morph,train,dlib_2007_007763+dlib_2008_002079,face_000_dlib_2007_007763.png,0.5
train/morph/morph_train_048.png,morph,train,dlib_2008_002506+dlib_bald_guys,face_007_dlib_2008_002506.png,0.5
train/morph/morph_train_049.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_028_dlib_bald_guys_t60x80.png,0.5
train/morph/morph_train_050.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_036_dlib_bald_guys_t371x809.png,0.5
train/morph/morph_train_051.png,morph,train,dlib_2008_001009+dlib_bald_guys,face_001_dlib_2008_001009.png,0.7
train/morph/morph_train_052.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_025_dlib_bald_guys_t337x59.png,0.5
train/morph/morph_train_053.png,morph,train,dlib_2008_002079+dlib_bald_guys,face_006_dlib_2008_002079.png,0.7
train/morph/morph_train_054.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_040_dlib_bald_guys_t1107x1065.png,0.3
train/morph/morph_train_055.png,morph,train,dlib_2008_001009+dlib_bald_guys,face_001_dlib_2008_001009.png,0.7
train/morph/morph_train_056.png,morph,train,dlib_bald_guys+dlib_bald_guys,face_038_dlib_bald_guys_t752x818.png,0.4
train/morph/morph_train_057.png,morph,train,dlib_2007_007763+dlib_bald_guys,face_000_dlib_2007_007763.png,0.3
